id,judul,foto,penerbit,isbn,tempat_terbit
,Pengelolaan sumberdaya laut dan kesejahteraan masyarakat,,LIPI,978-602-8942-52-2,Jakarta
,Statistik penegakan hukum tahun 2007,,Published,979-602-97906-0-1,Jakarta
,Ensiklopedia tokoh pendidikan,,Nuansa,979-24-5656,Jakarta
,Data starategis BPS,,Badan pusat statistik,978-979-064-085-6,Jakarta
,Antologi kajian bahasaan,,Depdiknas,978-979-685-664-0,Jakarta
,Badan Litbang Pertanian,,Badan Penelitian dan Pengembangan Pertanian,979-8073-24-x,Jakarta
,Panduan pembuangan limbah perbekalan farmasi,,Buku kedokteran,979-448-759-7,Jakarta
,Glosarium kedokteran,,Depdiknas,979-685-520-8,Jakarta
,Atlas praktikum histologi,,EGC,979-448-095-9,Jakarta
,Teknologi untuk negeri,,Badan pengkajian dan Penerapan teknologi,979-8754-01-8,Jakarta
,Sains bahan jilid 2,,Kementrian Pendidikan Malaysia,983-62-3409-8,Jakarta
,Atlas bantu oftalmologi,,Perpunas,979-492-040-11,Jakarta
,Dasar - dasar terapi dan rehabilitasi fisik,,HIpokrates,979-492-119-x,Jakarta
,Panduan pengendalian kolera,,Buku kedokteran,979-448-577-2,Jakarta
,Daftar istilah teknik mesin,,ITB,979-3507-22-5,Jakarta
,Pusat listrik tenaga listrik,,Badan tenaga nuklir nasional,978-979-17143-4-1,Jakarta
,Handbook standarnasional indonesia kabel listrik,,Badan standar nasional,978-979-17002-1-4,Jakarta
,Analisis rangkaian digital,,Andi,979-763-690-9,Jakarta
,Pelestarian sumber daya laut partisipasi dan kesejahteraan penduduk di kawasan pesisir,,LIPI,978-602-8942-48-5,Jakarta
,Kamus bahasa indonesia bahasa sunda,,Depdikbud,979-459-378-8,Jakarta
,Fonologi bahas bedayu,,Depdikbud,979-459-964-6,Jakarta
,Struktur bahasa kemak,,Depdikbud,979-459-962-x,Jakarta
,Sistem morfologi nomina bahasa masangka,,Depdikbud,979-459-961-1,Jakarta
,sistem pemajemukan kata bahasa banjar,,Depdikbud,979-459-987-5,Jakarta
,kamus bahasa indonesia-bali,,Depdikbud,979-459-783-x,Jakarta
,Tipe semantik nomina bahasa makasar,,Depdikbud,979-459-973-5,Jakarta
,Kamus bahasa indonesia sentani,,Depdikbud,979-459-969-7,Jakarta
,Tata bahasa Toraja,,Depdikbud,979-459-773-2,Jakarta
,Pemakaian Bahasa Indonesia,,Depdikbud,979-459-754-6,Jakarta
,Pemeringkatan makna kata dalam bahasa indonesia,,Depdikbud,979-459789-9,Jakarta
,Kamus Indonesia -Arab,,Rineka Cipta,979-518-607-8,Jakarta
,Puputan badung 20 september 1906,,Depdikbud,979-9335-04-5,Jakarta
,Kamus bahasa indonesia -karo a-k,,Depdikbud,979-459-798-8,Jakarta
,Limbaga peribahasa simalungun,,Depdikbud,979-459-786-4,Jakarta
,Konsep budaya bali,,Depdikbud,979-459-778-3,Jakarta
,Asean rises to the challenge,,The asean sekertariat,979-8080-62-9,Jakarta
,Panduan pemberitaan lingkungan hidup,,Yayasan Obor Indonesia,979-461-300-2,Jakarta
,Kamus istilah aneka hukum,,Pustaka Sinar Harapan,979-416-656-1,Jakarta
,Sistem paten pedoman praktik dan alih teknologi,,Djambatan,979-428-216-2,Jakarta
,KUHP kitab undang2 hukum acara pidana dan peraturan 2 pelaksanaan,,Djambatan,979-428-255-3,Jakarta
,Pengembangan kelembagaan kemitraan usaha hortikultura di sumatra utara jawa barat dan bali,,Departemen Pertanian,979-3566-56-6,Jakarta
,Studi dalam metode tabel input-output dan analisis,,UI,979-456-022-5,Jakarta
,Bank Indonesia,,Bank indonesia,979-3363-14-2,Jakarta
,Evaluasi kebijakan investasi wawasan berikat dan kinerja sektor ekonomi Kaltim,,PKP2A Samarinda,979-1176-01-9,Samarinda
,Studi hukum bantuan likuiditas bank indonesia,,BLBI,979-8086-17-1,Jakarta
,Credit management hanbook,,RajaGrafindo Persada,979-769-031-8,Jakarta
,strategi pemantapan sumber2 pendapatan daerah melalui pengembangan komoditas non migas di Kalimantan,,PKP2A Samarinda,979-1176-04-3,Samarinda
,Glosari pariwisata kontemporer,,Pradnya Paramita,979-408-524-3,Jakarta
,Mengurai benang kusut BLBI,,BI,979-8086-25-2,Jakarta
,Hukum Agraria indonesia,,Djambatan,979-428-282-0,Jakarta
,Katalog induk majalah,,LIPI,0854-6711,Jakarta
,Daftar terbitan berkala indonesia yang telah mempunyai ISSN,,LIPI,0854-0306,Jakarta
,Kumpulan abstrak hasil penelitian lembaga penelitian univ.Brawijaya malang,,Iniv.Barawijaya malang,979-508-003-2,Malang
,Walden,,Everyman\'s,1-83735-136-4,London
,Candide and other stories,,Everyman\'s,1-83715-130-3,London
,Under Western eyes,,Everyman\'s,1-85715-043-0,London
,The human factor,,Everyman\'s,1-85715-071-6,London
,The return of the native,,Everyman\'s,1-85715-116-x,London
,Kamus matematika,,Balai Pustaka,979-666-295-7,Jakarta
,Pengembangan kelapa sawit,,LAN,979-1176-00-0,Jakarta
,Kamus Filsafat dan psikologi,,Rineka Cipta,979-518-323-0,Jakarta
,SDA sebagai modal dalam pembangunan berkelanjutan,,LIPI,979-8958-40-3,Jakarta
,Kompetensi guru madrasah,,DEPAG,978-979-9099-43-3,Jakarta
,Macapat modern dalam sastra jawa analisis bentuk dan isi,,Depdiknas,979-685-380-9,Jakarta
,Isu kontenporer kebijakan pembangunan pertanian,,Badan Penelitian dan Pengembangan Pertanian,979-3566-21-3,Jakarta
,Longman pronunciation Dictionary,,Pearson Education limited,0-582-36467-1,London
,Sistem morfologi adjektiva bahasa massenrempulu,,Depdikbud,979-459-308-7,Jakarta
,Morfologi dan sintaksis Bahasa pakpak dairi,,Depdikbud,979-459-293-5,Jakarta
,Sintaksis bahasa biak,,Depdikbud,979-459-316-8,Jakarta
,Sintaksis bahasa muko-muko,,Depdikbud,979-459-313-3,Jakarta
,Morfo-sintaksis Bahasa tatum,,Depdikbud,979-459-292-7,Jakarta
,Penelitian kosakata bahasa arab dalam bahasa indonesia,,Depdikbud,979-459-296-x,Jakarta
,Himpunan peraturan perundangan tentang kearsipan,,Kanisius,979-413-579-8,Yogyakarta
,Meneer parlentee,,Depdiknas,978-979-685-662-6,Jakarta
,Pedoman lengkap menulis surat,,Kawan pustaka,979-757-130-0,Jakarta
,Flu Burung ancaman dan pencegahan,,Badan informasi,979-99613-3-5,Jakarta
,Panduan praktikum parasitologi dasar,,Yrama Widya,978-979-543-886-1,Jakarta
,Prospek usaha dan pemasaran beberapa Komoditas pertanian,,Badan Penelitian dan Pengembangan Pertanian,979-3566-18-3,Jakarta
,Komputasi dalam ilmu pengetahuan dan teknologi nuklir,,Badan tenaga nuklir nasional,978-979-17143-6-5,Jakarta
,Relasi makna kehomoniman dalam bahasa melayu dialek jakarta,,Depdiknas,978-979-685-790-6,Jakarta
,Diksi dalam bahasa indonesia ragam tulis,,Depdiknas,978-979-685-788-3,Jakarta
,Ulysses,,Everyman\'s,1-85715-100-3,London
,Lolita,,Everyman\'s,1-85715-133-x,London
,The Awkward age,,Everyman\'s,1-85715-152-6,London
,Adam bede,,Everyman\'s,1-85715-059-7,London
,Lord Jim,,Everyman\'s,1-85715-065-1,London
,Typhoon and other stories,,Everyman\'s,1-85715-004-x,London
,Wacana hiburan dalam sms seru,,Depdiknas,978-979-685-787-6,Jakarta
,Penyempurnaan penyusunan indeks pembangunan regional,,Direktorat analisis pengembangan statistik,978-979-064-251-5,Jakarta
,Ekologi ternate,,LIPI,978-979-799-609-3,Jakarta
,Kamus istilah karya tulis ilmiah,,Bumi aksara,979-526-545-8,Yogyakarta
,Panduan pintar EYD pedoman umum ejaan bahasa indonesia,,Indonesia Tera,979-775-104-x,Jakarta
,Dunia belajar pedoman praktis,,Depdikbud,979-95646-6-2,Jakarta
,Pedomal praktis,,UNESCO,979-95646-1-1,Jakarta
,Menjelajahi dan mempelajari ilmu pengetahuan dan teknologi,,Pakar Raya,979-534-269-x,Jakarta
,Immigration integration security,,University of pitts burgh press,10-0-8229-5984-4,London
,Writing to learn from paragraph to essay,,McGrawHill,0-07-230756-0,New York
,human gegraphy,,McGrawHill,978-0-07-305151-9,New York
,pembinaan disiplin dilingkungan kota di daerah sumatera barat,,Progres,979-3359-90-0,Jakarta
,Ensiklopedia menejemen,,Bumi aksara,979-526-122-3,Jakarta
,Studi ekonomi bantuan likuiditas bank indonesia,,BI,979-8086-18-x,Jakarta
,BI dan BLBI suatu tinjauan penilaian aspek ekonomi keuangan dan hukum,,BI,979-8086-19-8,Jakarta
,Universitas Terbuka dulu kini dan esok,,Universitas Terbuka,979-689-690-7,Jakarta
,Memorendum masa bakti anggota badan pertimbangan pendidikan nasional,,Badan Pertimbangan Pendidikan Nasional,979-401-152-5,Jakarta
,Manajemen umum,,Elex Media Komputindo,0-566-0233-4,Jakarta
,manajemen akuntansi,,Elex Media Komputindo,0-566-02615-5,Jakarta
,Manajemen pemasaran,,Elex Media Komputindo,0-8160-1906-1,Jakarta
,keterampilan manajemen,,Elex Media Komputindo,0-566-02635-x,Jakarta
,manajemen keuangan,,Elex Media Komputindo,0-566-02623-6,Jakarta
,Leksikon Manajemen strategi,,Elex Media Komputindo,0-0291-4220-2,Jakarta
,Panduan lapangan mengenal burung-burung Jawa dan bali,,UGM,979-420-150-2,Yogyakarta
,Panduan Praktis Rancangan bangunan 3 dimensi dengan Autocad,,Andi Offset,979-763-611-9,Yogyakarta
,Utility jaringan panduan mengoptimalkan jaringan komputer berbasis windows,,Kawan pustaka,979-757-077-0,Jakarta
,Indeks Makalah,,LIPI,0216-3608,Jakarta
,sari laporan penelitian bidang lingkungan hidup,,LIPI,979-8012-628,Jakarta
,Kamus teknologi informasi,,Andi Offset,978-979-29-0359,Jakarta
,Katalok induk nasional,,Perpunas,979-6289-64-1,Jakarta
,Morfosintaksis Bahasa Mantang,,Depdikbud,979-459-978-1,Jakarta
,BLBI Perspektif hukum politik dan ekonomi,,BLBI,979-8086-20-1,Jakarta
,World Book U.V 15,,"World, inc",10-0-7166-0107-9,Chicago
,Practice makes practice,,State University of new york,0-7914-0568-0,New York
,kamus konservasi Sumber daya alam,,Depdikbud,979-459-051-7,Jakarta
,Studi keuangan bantuan likuiditas bank indonesia,,BI,979-8086-16-3,Jakarta
,Kitab undang -undang hukum perdata,,Rineka Cipta,979-518-069-x,Jakarta
,Microbiology,,McGrawHill,978-0-07-283031-6,New York
,Kamus percakapan Inggris Indonesia,,Rineka Cipta,979-518-014-2,Jakarta
,David copperfield,,Everyman\'s,1-85715-031-7,London
,Manajemen produksi dan operasi,,Elex Media Komputindo,0-273-02873-1,Jakarta
,Sufi perkotaan,,Depag RI,978-979-9099-47-1,Jakarta
,Kamus keperawatan,,Buku kedokteran,979-448-443-1,Jakarta
,Kumpulan pidato pengkuhan guru besar UGM,,UGM,979-420-568-0,Jakarta
,Struktur bahasa ngadha dialek rongga,,Depdikbud,979-459-77-1,Jakarta
,Indonesiana,,LIPI,979-8012-40-2,Jakarta
,The battle for junk ceylon,,Foris publication,90-66765-066-8,Jakarta
,Manajemen sumber daya manusia,,Elex Media Komputindo,0-89397-295-9,Jakarta
,Saussure,,Depdikbud,979-459-656-6,Jakarta
,Kupu-kupu di kampus Unila,,Univ Lampung,978-979-1165-8,Lampung
,Asas reka bentuk komponen mesin,,Kementrian Pendidikan Malaysia,983-62-1984-6,Jakarta
,Katalog pameran koleksi perpustakaan nasional RI Univ Mulawarman Samarinda KALTIM,,Perpunas,979-8289-74-9,Samarinda
,Mentri-mentri Agama RI,,departemen agama ri,979-95248-3-0,Jakarta
,Analisis Data Kualitatif,,UI,979-456-103-7,Jakarta
,Metoda statistika,,tarsito,979-9185-37-8,Jakarta
,Khazanah naskah,,Yayasan Obor Indonesia,979-461-331-0,Jakarta
,fonologi dan fonologi bahasa muko-muko,,Depdikbud,979-459-304-4,Jakarta
,Negara dan bangsa,,Grolier Internasinal,979-8087-08-9,Jakarta
,Kisah tahu dari tanah melayu,,Kemendiknas,978-979-685-967-2,Jakarta
,Daftar buku teknologi sederhana,,LIPI,979-8012-26-7,Jakarta
,Kamus matematika Geometri 1,,Depdikbud,979-459-470-9,Jakarta
,Kamus Matematika Riset Operasi,,Depdikbud,979-459-466-0,Jakarta
,Kamus Bahasa Indonesia -Mentawai,,Depdikbud,979-459-799-5,Jakarta
,Kamus Fisika,,Depdikbud,979-459-013-4,Jakarta
,Kamus aljabar,,Depdikbud,979-459-578-0,Jakarta
,Kamus klimatologi,,Depdikbud,979-459-647-7,Jakarta
,Kitab undang-undang hukum perdata,,Sinar Grafika,979-8767-19-5,Jakarta
,Perjuangan sutan pangaduan,,Depdikbud,979-459-725-2,Jakarta
,Kamus Agraria,,Alumni,979-538-123-7,Bandung
,Kamus istilah pekerjaan sosial,,Kanisius,979-413-243-8,Yogyakarta
,Kamus lengkap jerman - Indonesia,,RajaGrafindo Persada,979-421-242-7,Jakarta
,Struktur Bahasa melayu,,Balai Pustaka,979-459-978-6,Jakarta
,Panduan desain grafis dengan corel Draw 12,,Andi Offset,979-731-881-0,Yogyakarta
,Kamus hukum Belanda -Indonesia,,Djambatan,979-429-411-4,Jakarta
,Kamus ilmu Tasawuf,,Amzah.,979-9392-29-2,Jakarta
,Handbook SNI Baja untuk konstruksi,,Badan standardisasi nasional,978-979-17002-3-5,Jakarta
,Aspek kelembagaan dan aplikasinya dalam pembangunan pertanian,,Badan Penelitian dan Pengembangan Pertanian,979-3566-19-1,Jakarta
,The Decline And Fall Of The Roman Empire,,Every Man\'s Library,1-85715-192-5,London
,DR Jekyll And MR Hyde And Other Stories,,Every Man\'s Library,1-85715-063-5,London
,The Collected Stories,,Every Man\'s Library,1-85715-251-4,London
,Collected Stories,,Every Man\'s Library,1-85715-786-9,London
,Poems And Prophecies,,Every Man\'s Library,1-85715-043-1,London
,Direktori Tenaga Peneliti:kawasan timur indonesia,,sofEI Bakti,978-979-18376-1-3,Makassar
,Directory Of West European Indonesia,,Foris publication,90-6765-221-0,USA
,Tokoh Dan Peristiwa Dalam Sejarah Eropa Awal Masehi -1815,,ui-press,979-456-000-6,Jakarta
,Katalok Induk Naskah-Naskah Nusantara Jilid 4 Perpustakaan Nasional Republik Indonesia,,Perpustakaan Nasional RI,979-461-304-5,Jakarta
,KRUIDNAGELEN EN CHRISTENEN,,Foris publication,90-6765 220 2,Netherland
,Diantara Para Sahabat,,PT Citra Lamtoro Gung Persada,979-8085-05-1,Jakarta
,Fitzgeranld The American Dreamer,,Franklin Watts,0-531-13955-7,Canada
,Jepang Di mata Orang Indonesia,,The Japan Foundation,979-97474-4-9,Jakarta
,Prosiding : Seminar Disertasi Dan Hasil Penelitian Doktor Universitas Lampung,,Universitas Lampung,979-8287-16-9,Bandar lampung
,Mengajar dengan Sukses,,Bumi aksara,979-526-228-9,Jakarta
,Pergumulan Seorang Intelektual : Biografi Soedjatmoko,,PT Gramedia Pustaka Utama,979-686-691-9,Jakarta
,Horticultural research international,,Wagening,90-6605-195-7,Netherland
,Teori sastra kontenporer & 13 tokoh sebuah perkenalan,,In Azna Books,978-979-3194-83-7,Yogyakarta
,Analisis struktur dan nilai budaya dalam hikayat mesa gimang,,Depdikbud,979-459-581-0,Jakarta
,Analisis struktur dan nilai budaya hikayat raja kerang,,Depdikbud,979-459-580-2,Jakarta
,Sejarah indonesia modern 1200-2004,,Ikrar mandiri abadi,979-16-0012-0,Jakarta
,Anatomy and physiology of farm animals,,Lea & Febiger,0-8121-0759-4,London
,Roman people,,Mayfield,0-7674-1770-0,London
,Tata cara periklanan kleppner,,Prentice-Hall,979-537-120-7,London
,Puputan Badung 20 September 1906,,Proyek Inventarisasi dan Dokumentasi Sejarah Nasional Direktorat Sejarah dan Nilai Tradisonal Direkt,979-9335-04-3,Jakarta
,Toni Morrison Great America Write,,Franklin Watts,0-531-11677-8,New York
,Analisis Faktor Atas Variabel Yang Dipertimbangkan Dalam Pembelian Sepeda Motor Honda DiBali,,Universitas Brawijaya,979-558-035-3,Malang
,Public Finance,,McGraw-Hill,978-0-07-337574-8,New York
,Comparative Cellular and Molecular Biology of ovary in Mammals,,"Science Publishers,Inc",1-57808-127-0,USA
,An IIIustratednPocketbook of Hypertension,,Parthenon Publishing,1-84214-057-4,New York
,An IIIustrated Pocketbook Of PARKINSON'S DISEASE AND RELATED DISORDERS,,Parthenon Publishing,1-84214-142-2,New York
,Geriatric Diabetes,,Informa Healthcare,978-084937065-6,New York
,Georgia O'KEEFFE,,Childrens Press,0-516-02297-0,Canada
,Laparoscopic Surgery For Gynecologic Oncology,,McGraw-Hill,978-0-07-149324-4,New York
,The Essay an introduction,,McGraw-Hill,0-07-249861-7,New York
,75 Readings an anthology,,McGraw-Hill,0-07-237066-1,New York
,Medical Ethics Accounts of the Cases and Issues That Define Medical Ethics,,McGraw-Hill,978-0-07-353573-9,New York
,Sex & Gender an introduction,,McGraw-Hill,978-0-07-340553-7,New York
,"Macroeconomics Principles,Problems,and Policies",,McGraw-Hill,0-07-234089-4,New York
,The Universal Book Of ASTRONOMY From the Andromeda Galaxy To The Zone Of Avoidance,,John Wiley & Sons Inc,0-471-26569-1,Amerika
,How Much Money Does An Economy Need?,,Axios,978-0-9753662-7-1,New York
,Foundations of Meaningful Educational Assessment,,McGraw-Hill,978-0-07-340382-3,New York
,The Asthma Sourcebook Everything you need to know about,,McGraw-Hill,978-0-07-147652-2,New York
,Operational Profitability Systematic approache For Continuous Improvement,,John Wiley & Sons Inc,0-471-21473-6,Amerika
,Hitting First Preventive Force In U.S.Security Strategy,,University Of Pittsburgh Press,0-8229-5936-4,Amerika
,Contemporary Nutrition,,McGraw-Hill,978-0-07-294374-0,New York
,Public Healt & Preventive Medicine,,McGraw-Hill,978-0-07-144198-8,New York
,Neuroscience Third edition,,"Sinauer Associates,Inc",0-87893-725-0,USA
,Accounting Text & Cases,,McGraw-Hill,978-0-07-310091-3,New York
,PSYCHOLOGY Frontiers and Applications,,McGraw-Hill,0-07-365795-6,New York
,Annual Editions Education Thirty-Fifth Edition,,McGraw-Hill,978-0-07-339748-1,New York
,Evolution,,"Sinauer Associates,Inc",978-0-87893-187-3,USA
,75 Readings Across the Curriculum,,McGraw-Hill,978-0-07-340576-6,New York
,Head And Neck Manifestations Of Systemic Disease,,Informa Healthcare,978-084934050-5,New York
,First Aid Radiology For The Wards,,McGraw-Hill,978-0-07-138101-5,New York
,"Research Methods in Psychology Ideas,Techniques,and Resports",,McGraw-Hill,978-0-07-253074-2,New York
,Issues in Economics Today,,McGraw-Hill,978-0-07-337570-0,New York
,Business Communication Making Connection In A Digital World,,McGraw-Hill,978-0-07-305036-2,Boston
,The Brightest Stars Discovering The Universe through the sky's Most Brilliant Stars,,John Wiley & Sons Inc,978-0-471-70410-2,Amerika
,Teaching Children Science A Project-Based Approach,,McGraw-Hill,0-07-036007-3,New York
,Human Genetics Concepts and Applications,,McGraw-Hill,978-0-07-722127-0,Boston
,Animal Behavior,,"Sinauer Associates,Inc",978-0-87893-005-0,USA
,Public Health Genomics The Essentials,,Jossey-Bass,978-0-7879-8684-1,Amerika
,"Labor,Markets,and Agricultural Production",,Westview press,0-8133-7827-3,San Fracisco
,Tree-Crop Interactions A Physiological Approach,,Cab International,0-85198-987-X,New York
,The Methodology Of Herbert Blumere,,Cambridge University Press,0-521-38246-7,New York
,The People and The Party System The referendum and electoral reform in British Politics,,Cambridge University Press,0-521-24207-X,New York
,"Economic Crisis In Sountheast Asia And korea Its Economic,Social,Political,And Cultural Impacts",,Asean Universty Network,89-88164-12-1,Korea
,Cancer Of The UTERUS,,Marcel Dekker,0-8247-5415-8,New York
,American Education,,McGraw-Hill,978-0-07-352594-5,Boston
,Vaccines:What Every Parent SHOULD KNOW,,"Wiley Publishing,Inc",0-02-863861-1,Amerika
,Transparency in global change,,University Of Pittsburgh Press,0-8229-5895-3,Amerika
,Buying into English Language and inuestment in the new capitalist word,,University Of Pittsburgh Press,978-0-8229-6001-0,Amerika
,"The Great BEYOND Higher Dimensions,parallel Universes.and the Extraordinary Search for a theory of everything",,John Wiley & Sons Inc,978-0-471-46595-X,Amerika
,Quo Vadis Reformasi Birokrasi?Sebuah Refleksi Perjalanan 7 Tahun Birokrasi Indonesia,,PKP2A III LAN,979-99635-1-6,Samarinda
,Pranata Sosial Dalam Masyarakat Sunda,,Departemen Pendidikan Nasional,979-685-387-6,Jakarta
,Pemertahanan Bahasa Dan Sikap Bahasa Kasus Masyarakat bilingual DiMedan,,departemen pendidikan dan kebudayaan,979-459--820-8,Jakarta
,Sistem Sapaan Bahasa Melayu Sambas,,departemen pendidikan dan kebudayaan,979-459-770-8,Jakarta
,Kisah Al-Anbiya Dalam Naskah Kuno koleksi Perpustakaan Nasional RI,,Perpustakaan Nasional RI,979-9316-32-4,Jakarta
,DIALOG PRANCIS-NUSANTARA Aneka Ragam Pendekatan Dalam Penelitian Ilmu-Ilmu Sosial Dan Budaya Tentang Asia Tenggara maritim,,Yayasan Obor Indonesia,979-461-296-07-7,Jakarta
,Critical Issues In Education,,McGraw-Hill,978-0-07-313136-8,Boston
,Faming American PoliTics,,University Of Pittsburgh Press,0-8229-5864-3,Amerika
,Chemistry In Context Applying Chemistry to Society,,McGraw-Hill,978-0-07-722134-8,New York
,The Human Polity A Comparative Introduction to Political Science fourth Edition,,Houghton Mifflin Company,0-395-74356-7,Boston
,Interpersonal COMMUNICATION SKILLS For HEALTH PROFESSIONALS,,McGraw-Hill,0-07-820312-0,New York
,Principles Of Microeconomics,,McGraw-Hill,978-0-07-340283-3,Boston
,Drug Metabolism Chemical and Enzymatic Aspects,,Informa Healthcare,978-084937595-8,New York
,Biology Consepts and Investigations,,McGraw-Hill,978-0-07-291690-4,Boston
,University Chemistry,,McGraw-Hill,978-0-07-296904-7,Boston
,Great Minds Of Science COPERNICUS Founder Of Modern Astronomy,,Enslow Publishers Inc,0-7660-1755-9,Amerika
,Explorations an introduction to astronomi,,McGraw-Hill,0-07-241593-2,Amerika
,Imaging In Rehabilitation,,McGraw-Hill,978-0-07-144778-2,New York
,Essentials of COMPARATIVE POLITICS,,Norton & Company,978-0-393-92876-1,London
,"Infants,Toddlers,and Caregivers",,Mayfield Publishing Company,0-7674-1684-8,London
,Explorting Congress? The Influence of The U.S. Congress On World Legislatures,,Universty of Pittsburgh Press,0-8229-5921-6,Amerika
